Gender,Age,Height,Weight,family_history_with_overweight,CH2O,FAF,Obesity
1,26,1.86,88.97,1,2,0,0
0,22,1.66,65,1,2,1,0
1,19,1.78,72,1,2,1,0
1,22,1.8,89.56,1,3,0,0
0,19,1.55,79.11,1,1,0,0
0,26,1.65,71,1,1,0,0
0,25,1.56,53,0,2,2,0
1,22,1.72,89.99,1,2,2,0
1,21,1.6,53,1,1,1,0
0,21,1.6,66.74,1,2,0,0
1,20,1.81,85,1,2,1,0
0,21,1.62,65,1,3,1,0
1,18,1.71,71,0,2,2,0
0,20,1.53,64.85,1,2,0,0
0,21,1.52,67.08,1,2,1,0
1,24,1.82,85,1,2,1,0
0,17,1.57,57,0,2,2,0
1,38,1.75,78,1,3,3,0
0,19,1.73,80,1,2,0,0
1,32,1.84,91.5,1,1,1,0
1,17,1.83,68,0,1,1,0
0,21,1.65,63,1,2,1,0
0,19,1.55,42,0,1,0,0
1,16,1.8,83,1,2,2,0
1,18,1.7,70,0,3,1,0
0,18,1.56,39.85,1,2,2,0
0,21,1.6,68,1,3,1,0
0,17,1.6,48,0,2,2,0
1,21,1.76,75,0,2,0,0
0,21,1.56,51,0,1,0,0
0,32,1.67,72.91,1,1,0,0
1,24,1.7,80,1,2,1,0
1,20,1.84,59.3,1,2,2,0
1,18,1.69,51.11,1,1,2,0
0,18,1.7,50,1,1,0,0
0,18,1.6,58,1,2,0,0
1,18,1.8,55,1,2,2,0
1,22,1.65,80.46,1,2,1,0
1,21,1.75,50,0,2,0,0
1,18,1.78,64.4,1,2,3,0
1,23,1.67,70,0,2,2,0
1,20,1.85,85.83,1,3,1,0
0,31,1.55,68,1,2,0,0
1,33,1.85,85.5,0,3,1,0
1,17,1.79,57,0,2,2,0
0,21,1.67,67,1,1,1,0
0,26,1.62,68,1,1,0,0
0,16,1.71,50,0,2,3,0
0,21,1.7,54.99,0,1,1,0
1,23,1.71,51.49,1,2,0,0
1,18,1.62,53,0,2,1,0
0,21,1.6,50,1,1,0,0
0,21,1.65,60,0,2,0,0
1,28,1.8,78,1,3,0,0
0,18,1.62,68.25,1,1,0,0
0,20,1.63,54.5,1,1,0,0
1,17,1.8,60,0,2,0,0
0,23,1.51,75,1,3,1,0
1,18,1.84,59.21,1,2,2,0
1,33,1.8,97,1,1,0,0
0,20,1.68,74.81,1,2,2,0
1,27,1.74,83.41,1,2,1,0
1,21,1.74,50,0,2,1,0
0,33,1.59,60,0,2,0,0
1,22,1.71,50,1,1,2,0
0,17,1.7,67.94,0,2,1,0
0,22,1.75,54.93,1,2,2,0
1,23,1.7,80,0,2,0,0
1,18,1.78,52,1,2,1,0
1,20,1.77,56.31,1,2,2,0
1,18,1.7,50,1,2,1,0
1,21,1.67,60,1,1,0,0
1,34,1.7,84.69,1,2,1,0
1,20,1.72,98,1,2,1,0
1,21,1.85,66,1,2,3,0
1,33,1.7,84,1,2,2,0
0,17,1.57,55,1,2,2,0
1,18,1.72,53,0,2,2,0
1,22,1.6,67,1,2,1,0
1,22,1.82,88.12,1,3,2,0
0,18,1.63,53.5,0,2,1,0
1,18,1.71,51,0,1,2,0
1,17,1.77,65,0,2,1,0
1,23,1.67,67,1,2,0,0
1,18,1.72,86.08,1,2,1,0
0,19,1.66,67,1,2,1,0
0,39,1.55,62.34,1,3,0,0
1,22,1.7,75,1,2,3,0
0,23,1.65,73.51,1,2,0,0
1,23,1.83,88,1,2,1,0
1,17,1.8,60,1,2,0,0
1,33,1.74,75,1,2,3,0
0,20,1.59,44.81,0,1,2,0
0,18,1.65,58,1,2,1,0
1,26,1.7,103.59,1,1,2,0
1,34,1.74,84,1,2,3,0
0,17,1.75,57,1,2,0,0
0,29,1.66,77.03,1,1,1,0
0,18,1.72,80,1,2,1,0
0,19,1.66,60,1,1,0,0
0,22,1.74,44.24,0,3,0,0
0,23,1.54,48,1,2,2,0
1,23,1.75,85.52,0,2,2,0
0,25,1.6,66,0,2,0,0
1,21,1.6,70,0,3,2,0
0,33,1.69,77.43,1,1,1,0
1,48,1.74,84.73,1,1,1,0
0,21,1.5,50,1,1,0,0
1,19,1.7,79,1,3,1,0
1,19,1.67,80,1,2,1,0
0,21,1.6,65,1,2,1,0
1,21,1.65,80,1,3,1,0
1,20,1.76,54.98,1,3,2,0
0,32,1.55,65.27,1,2,0,0
1,18,1.84,52.63,0,2,0,0
1,45,1.7,86,1,3,0,0
1,19,1.7,50,0,1,2,0
1,23,1.7,83,1,2,2,0
0,23,1.63,45,1,3,2,0
1,23,1.7,53,1,2,3,0
1,19,1.8,80,1,3,2,0
1,21,1.74,68,0,2,0,0
0,23,1.67,80,1,1,0,0
0,18,1.61,68.39,1,2,3,0
1,18,1.76,58,0,1,2,0
0,19,1.66,79.62,1,2,2,0
1,34,1.69,84.45,1,3,1,0
0,18,1.59,52,0,2,2,0
0,23,1.56,60,1,2,1,0
0,20,1.6,45,1,1,1,0
0,16,1.56,39.13,0,3,2,0
1,21,1.68,75,1,1,1,0
0,19,1.75,59,1,2,1,0
1,29,1.75,89.07,1,2,1,0
0,21,1.75,77.96,1,2,0,0
0,23,1.72,50,1,2,2,0
1,23,1.7,80.27,1,2,1,0
0,18,1.6,57,0,2,1,0
1,22,1.72,99,1,2,1,0
1,16,1.72,66,0,2,2,0
1,27,1.7,78,1,1,0,0
1,20,1.6,65,1,3,1,0
1,23,1.7,83.79,1,2,1,0
0,23,1.6,60,1,2,2,0
0,23,1.65,58,0,1,1,0
0,36,1.7,83,1,2,2,0
1,21,1.69,75.58,1,2,0,0
1,18,1.73,78.18,1,2,0,0
0,18,1.62,53,0,1,0,0
0,20,1.77,49.65,0,2,1,0
0,23,1.65,62,1,2,0,0
0,17,1.7,50,0,2,0,0
1,21,1.62,69.58,1,3,1,0
1,21,1.62,68,0,3,2,0
0,21,1.62,68.65,1,3,1,0
1,20,1.8,66.4,1,2,3,0
1,19,1.78,79,1,2,3,0
0,23,1.65,75,1,1,1,0
0,38,1.55,80,0,2,0,0
1,26,1.72,83.41,1,2,1,0
0,18,1.55,56,0,2,1,0
0,22,1.61,63,1,3,1,0
0,34,1.65,73.5,1,1,0,0
1,20,1.69,49.66,1,2,1,0
1,18,1.75,55.7,1,2,1,0
1,17,1.78,50,1,1,2,0
1,17,1.7,84.73,1,2,1,0
1,17,1.7,56,0,2,1,0
1,23,1.72,83.28,1,3,1,0
0,23,1.6,53,1,2,3,0
1,35,1.72,83.99,1,2,1,0
1,20,1.78,68,0,3,2,0
0,19,1.5,41,0,1,1,0
0,21,1.55,62.88,0,2,1,0
0,38,1.68,79.08,1,2,0,0
1,26,1.76,85.32,1,3,2,0
1,21,1.69,75,1,2,2,0
1,21,1.8,60,0,2,2,0
0,38,1.6,63,0,1,1,0
0,20,1.7,71,1,2,2,0
0,27,1.7,78,0,3,2,0
0,26,1.6,61,0,1,1,0
1,22,1.7,75.82,1,2,2,0
0,21,1.76,79.47,1,3,3,0
0,20,1.72,49.66,0,1,2,0
1,17,1.82,58.44,1,2,2,0
0,35,1.75,73.94,1,2,1,0
0,20,1.5,42,0,1,0,0
1,33,1.85,97,1,3,1,0
1,34,1.65,90,1,2,2,0
0,17,1.76,51.44,1,2,0,0
0,16,1.61,67.94,1,3,1,0
0,19,1.72,78.44,1,2,2,0
0,17,1.75,56,1,2,2,0
1,21,1.6,67,1,1,1,0
1,33,1.7,84.73,1,2,1,0
1,17,1.75,70,1,1,3,0
0,18,1.7,68.39,1,1,0,0
0,22,1.76,79.68,1,2,0,0
0,19,1.55,72.95,1,2,2,0
1,20,1.65,65,0,3,1,0
1,18,1.77,50.87,0,2,1,0
1,19,1.7,81.38,1,2,2,0
0,25,1.57,49,0,1,2,0
0,19,1.73,49.68,0,2,2,0
1,17,1.77,55.7,1,3,2,0
1,17,1.6,65,0,2,3,0
0,33,1.65,77,1,2,1,0
1,23,1.72,80.04,1,2,0,0
1,43,1.69,79.66,1,2,1,0
1,18,1.7,75,0,3,3,0
0,22,1.63,55,1,2,3,0
0,19,1.52,42,0,1,2,0
0,21,1.72,80,1,2,2,0
1,18,1.83,57.28,1,2,2,0
0,18,1.72,72,1,2,1,0
1,19,1.7,83.1,1,2,2,0
0,33,1.6,63,1,2,0,0
0,19,1.5,50,1,2,0,0
0,34,1.72,83.39,1,1,0,0
1,21,1.8,66.5,0,2,1,0
1,21,1.6,60,0,2,1,0
0,18,1.6,65,1,2,1,0
0,18,1.6,45,1,2,1,0
0,18,1.71,50.17,1,2,1,0
1,23,1.85,75,0,1,1,0
1,20,1.85,66.5,1,2,1,0
1,34,1.75,85,0,3,3,0
1,17,1.7,85,0,1,1,0
0,18,1.67,56,1,2,1,0
1,23,1.83,89.8,1,2,0,0
1,23,1.71,71,1,2,0,0
0,16,1.6,67.91,1,2,1,0
0,20,1.57,41.4,0,1,0,0
1,18,1.7,70,0,2,3,0
0,19,1.55,45,0,1,0,0
1,21,1.62,70,0,3,1,0
0,16,1.65,45,1,3,1,0
0,20,1.6,45,0,3,2,0
0,21,1.72,50,0,1,1,0
1,21,1.74,75,0,2,1,0
1,30,1.7,99.2,1,2,2,0
0,19,1.59,42.1,0,2,2,0
0,37,1.65,80,1,2,0,0
1,18,1.82,55,1,2,0,0
1,22,1.74,82,1,2,0,0
1,19,1.75,87.28,1,2,1,0
0,30,1.67,84.73,1,2,1,0
1,24,1.7,84,0,3,3,0
0,22,1.65,65,1,2,1,0
0,23,1.61,65,1,1,0,0
0,33,1.68,83,1,3,1,0
0,20,1.56,51,1,3,0,0
0,20,1.76,49.7,0,3,2,0
0,18,1.72,52,1,2,1,0
1,16,1.84,45,1,3,3,0
0,18,1.6,76,0,2,2,0
1,30,1.8,91,1,2,0,0
0,19,1.63,61,0,2,1,0
1,21,1.8,68,0,2,2,0
0,23,1.65,75,1,2,3,0
1,34,1.76,85.8,1,2,3,0
1,18,1.8,70,1,2,2,0
0,27,1.66,49.56,1,2,1,0
0,33,1.68,74.96,1,1,0,0
1,18,1.71,71,0,2,1,0
0,18,1.76,54.5,1,2,1,0
0,23,1.5,55,1,2,1,0
0,22,1.63,55,1,2,1,0
1,20,1.7,68,0,2,0,0
0,21,1.53,42,0,1,0,0
0,22,1.59,44.05,0,3,2,0
1,23,1.72,95.29,1,2,0,0
1,25,1.66,68,0,1,1,0
1,29,1.62,53,0,2,0,0
0,19,1.53,42.07,0,1,1,0
1,19,1.7,79,0,2,1,0
0,19,1.53,41.67,0,1,0,0
0,22,1.73,50.42,1,1,1,0
0,23,1.55,50,0,1,0,0
0,18,1.6,56,1,1,0,0
1,20,1.7,75,1,2,0,0
0,37,1.5,63,1,2,0,0
0,21,1.53,65,1,1,1,0
1,31,1.7,68,1,2,1,0
1,18,1.8,95,1,3,1,0
1,23,1.83,67,1,3,1,0
0,18,1.71,50,0,1,0,0
0,22,1.61,67.94,1,3,2,0
1,23,1.8,75,1,1,2,0
1,33,1.72,80,1,2,2,0
0,28,1.64,73.51,1,2,1,0
1,35,1.74,85.23,1,2,2,0
1,31,1.68,79.86,1,1,2,0
0,18,1.55,72,1,3,1,0
1,33,1.71,83.29,1,2,2,0
1,22,1.6,45,1,2,2,0
0,20,1.61,53.5,1,1,2,0
1,19,1.72,88,1,2,1,0
0,18,1.63,55,1,1,0,0
0,27,1.69,77.43,1,2,1,0
0,20,1.56,45,0,1,1,0
0,36,1.58,60,1,1,2,0
0,41,1.53,79.49,1,1,0,0
1,23,1.8,85,1,2,3,0
1,18,1.72,51.46,1,1,1,0
1,33,1.7,83,1,2,0,0
0,23,1.63,53,1,1,0,0
0,18,1.6,55,0,2,2,0
1,23,1.72,83.31,1,2,1,0
1,24,1.74,76,1,2,0,0
1,24,1.71,83,1,2,2,0
1,21,1.74,78,1,3,1,0
0,18,1.62,83.28,1,2,0,0
1,33,1.85,85,0,2,3,0
0,24,1.57,60,1,2,1,0
0,20,1.46,74.8,1,2,1,0
0,18,1.57,51,0,1,0,0
0,21,1.6,58,0,3,1,0
1,23,1.87,64.81,1,1,2,0
1,19,1.87,87,0,3,2,0
0,20,1.59,72.71,1,2,1,0
0,20,1.68,72,1,3,0,0
0,38,1.5,60,1,2,0,0
0,21,1.61,61,1,1,1,0
0,20,1.55,49,0,2,2,0
1,22,1.72,70,0,3,1,0
0,20,1.55,63.89,0,2,2,0
1,20,1.72,53,1,2,1,0
0,19,1.67,49.66,0,1,2,0
1,21,1.74,75,0,3,1,0
1,21,1.69,70,0,3,1,0
0,22,1.5,55,1,2,1,0
1,21,1.72,80,1,2,0,0
0,19,1.69,49.66,0,2,2,0
0,20,1.61,61,0,1,0,0
1,23,1.7,75.05,1,2,1,0
0,16,1.82,47.12,0,2,2,0
1,33,1.69,83.2,1,2,2,0
1,30,1.75,86.1,1,1,2,0
0,18,1.62,56,1,2,1,0
0,19,1.73,50,0,1,2,0
0,21,1.7,75,0,1,1,0
0,27,1.58,63,1,1,1,0
1,20,1.82,85,1,3,2,0
1,25,1.74,83.34,1,2,0,0
1,18,1.7,50.17,1,2,0,0
1,23,1.65,58.5,1,2,0,0
1,21,1.75,65,1,1,2,0
1,22,1.62,69,0,2,1,0
1,23,1.71,75.92,1,2,1,0
1,18,1.84,52,1,3,1,0
0,34,1.65,77.27,1,1,0,0
0,20,1.62,53,0,3,1,0
1,21,1.8,70,0,1,1,0
1,21,1.69,75,1,3,1,0
1,37,1.75,87,0,2,3,0
0,20,1.57,42,0,2,1,0
1,30,1.75,83.31,1,2,1,0
1,21,1.71,80,1,2,0,0
0,21,1.59,43.09,0,3,0,0
0,37,1.6,76,1,2,1,0
0,18,1.6,60,1,2,0,0
0,23,1.64,52,0,2,2,0
1,20,1.86,64.26,1,2,2,0
0,21,1.6,58,1,2,0,0
0,18,1.64,68,0,2,0,0
0,20,1.64,64.26,1,1,1,0
0,23,1.75,78.05,1,2,1,0
0,24,1.68,80,1,2,0,0
0,18,1.77,55.52,1,2,2,0
0,24,1.6,53,0,2,1,0
0,18,1.58,44,0,2,1,0
1,17,1.7,57,1,2,2,0
1,18,1.67,80.01,1,2,0,0
0,18,1.72,72,1,1,2,0
1,20,1.62,69.74,0,2,2,0
0,34,1.67,77.43,1,1,1,0
1,21,1.71,75,1,2,3,0
1,35,1.65,80,1,2,2,0
1,18,1.74,77,1,2,1,0
0,22,1.63,45,0,1,0,0
1,22,1.71,82,1,2,3,0
0,21,1.56,45,0,2,1,0
0,18,1.7,50.09,0,1,1,0
0,33,1.66,73.64,1,2,3,0
1,26,1.62,53,1,2,1,0
1,17,1.68,83.31,1,2,1,0
0,41,1.5,63,1,2,3,0
0,34,1.65,77.97,1,1,0,0
0,28,1.53,78,1,1,0,0
0,28,1.78,78.88,1,2,2,0
1,18,1.72,52,0,2,0,0
1,23,1.62,53,1,2,1,0
1,55,1.65,85,0,2,1,0
0,23,1.65,70,1,2,0,0
0,23,1.7,75,1,2,2,0
0,40,1.5,63,1,2,0,0
0,17,1.56,43.37,1,1,2,0
0,21,1.75,78,1,3,1,0
0,22,1.51,64.11,1,2,2,0
1,16,1.66,60,1,2,2,0
0,21,1.68,67.91,1,2,1,0
1,19,1.8,75,0,2,2,0
0,20,1.64,53,1,2,3,0
1,21,1.69,75,1,1,0,0
1,18,1.81,86.37,1,2,1,0
1,22,1.64,70,0,3,0,0
0,19,1.7,49.84,0,1,2,0
1,18,1.75,52,0,2,0,0
0,18,1.53,41,0,1,0,0
1,32,1.76,88.14,1,1,0,0
0,17,1.64,43.37,0,3,3,0
0,21,1.62,66,0,2,1,0
1,33,1.65,80,1,2,1,0
1,55,1.76,80,0,2,3,0
0,18,1.58,53,1,2,2,0
0,18,1.73,50,0,1,2,0
0,27,1.57,60,1,2,0,0
0,18,1.74,50,0,2,2,0
0,22,1.56,49,0,1,2,0
1,25,1.89,68,0,2,1,0
1,19,1.76,55.01,1,3,3,0
0,21,1.59,49,1,2,2,0
0,38,1.67,75,1,1,1,0
1,17,1.8,97,1,3,0,0
1,18,1.6,48,1,2,1,0
1,18,1.72,50.93,0,1,1,0
0,21,1.59,42.07,0,1,2,0
1,20,1.8,85,1,3,2,0
1,18,1.7,56.03,1,2,0,0
1,18,1.78,68,1,2,2,0
0,31,1.67,72.71,1,2,1,0
0,19,1.57,42.4,1,2,1,0
0,23,1.59,48,1,2,1,0
1,30,1.68,83.02,1,2,1,0
0,22,1.61,67.14,1,3,1,0
1,17,1.69,65,1,2,0,0
0,34,1.68,73.5,1,2,1,0
0,19,1.73,69.39,1,2,0,0
1,20,1.85,58.83,1,3,2,0
1,21,1.68,68.91,0,2,1,0
0,22,1.63,68.85,1,3,0,0
0,20,1.55,56,0,3,1,0
1,20,1.75,75,1,2,2,0
1,18,1.76,80,0,1,0,0
1,19,1.64,70,0,2,1,0
1,34,1.76,84.32,1,2,1,0
1,20,1.7,78,1,3,2,0
0,19,1.63,64,1,1,1,0
0,18,1.7,78,1,3,3,0
1,18,1.7,52.09,1,2,0,0
1,23,1.77,70,1,2,1,0
1,34,1.7,84,1,2,2,0
1,18,1.85,59.62,1,2,3,0
0,23,1.77,76,0,2,1,0
0,19,1.68,75,1,2,1,0
1,18,1.7,80.33,1,2,1,0
0,21,1.75,78.64,1,3,2,0
1,33,1.7,84.72,1,2,2,0
0,21,1.56,60,1,2,0,0
0,26,1.68,79.67,1,1,0,0
1,21,1.87,66,0,2,3,0
1,18,1.7,65,0,2,3,0
1,18,1.7,65,0,2,0,0
1,21,1.72,80,1,3,3,0
1,19,1.71,78.64,1,3,0,0
1,17,1.6,56,0,2,2,0
1,18,1.72,50,1,2,1,0
0,20,1.56,42.66,0,1,0,0
1,21,1.7,70,1,2,2,0
0,33,1.68,74.8,1,2,1,0
0,19,1.65,86.08,1,2,1,0
1,33,1.7,84,0,3,2,0
0,19,1.63,77.86,1,2,2,0
0,20,1.64,56,1,2,1,0
0,23,1.6,58.5,0,2,2,0
0,21,1.6,66.5,0,2,1,0
0,19,1.64,49,0,2,2,0
1,24,1.88,91.06,1,2,1,0
1,21,1.74,75,1,2,1,0
1,18,1.79,51.26,0,2,2,0
0,20,1.68,77.22,1,2,2,0
0,21,1.76,78.72,1,3,0,0
1,21,1.76,80,1,2,3,0
1,18,1.91,51.15,1,2,2,0
1,19,1.8,71,0,2,2,0
1,20,1.74,54.93,1,2,2,0
1,22,1.71,70,0,1,2,0
0,17,1.54,42,0,1,0,0
1,26,1.81,88.04,1,2,0,0
0,22,1.58,51,1,2,1,0
0,19,1.63,56,0,1,1,0
1,23,1.75,69,0,2,2,0
0,22,1.63,62,0,1,0,0
0,18,1.65,60,1,2,0,0
1,21,1.72,80.56,1,2,1,0
0,32,1.72,78,1,1,0,0
1,19,1.78,64,0,1,1,0
0,17,1.56,59,0,2,2,0
1,19,1.75,87,0,2,2,0
0,26,1.65,60,0,2,2,0
1,17,1.82,59.3,1,2,2,0
0,18,1.57,56,1,2,3,0
1,38,1.75,75,1,1,0,0
0,33,1.62,59,0,2,1,0
1,20,1.7,70,1,2,1,0
0,16,1.57,56,0,3,2,0
1,18,1.82,59.21,1,2,2,0
0,20,1.69,49.93,0,2,2,0
1,17,1.51,67.87,1,2,1,0
0,21,1.65,65,0,2,1,0
0,18,1.67,60,0,2,1,0
0,21,1.65,68,1,3,1,0
0,23,1.75,57,0,2,2,0
0,21,1.6,60,0,2,1,0
1,23,1.83,93,1,2,2,0
1,20,1.78,52.07,1,2,1,0
1,23,1.72,60,0,2,1,0
0,18,1.71,50,1,1,2,0
1,18,1.82,51.15,0,2,1,0
0,19,1.7,75.28,1,2,0,0
1,33,1.68,83.01,1,2,0,0
0,38,1.79,80,1,1,2,0
0,20,1.6,45,0,1,3,0
0,22,1.6,61,1,2,1,0
1,21,1.62,58,0,2,0,0
1,22,1.66,60,0,2,1,0
1,32,1.68,89.99,1,3,1,0
1,19,1.72,85,0,3,1,0
1,18,1.78,51,1,1,1,0
0,26,1.72,78,1,1,1,0
1,25,1.84,91.51,1,2,1,0
1,19,1.85,85,0,3,1,0
0,22,1.75,77.35,1,2,1,0
1,19,1.72,50,1,1,0,0
0,22,1.64,70.43,1,2,0,0
0,21,1.63,68,1,1,1,0
0,21,1.75,50.63,0,2,2,0
1,19,1.56,62.88,1,1,0,0
0,22,1.7,80,1,2,2,0
1,23,1.8,66.5,1,3,3,0
0,20,1.72,56.27,0,2,2,0
0,17,1.7,49.68,0,2,2,0
1,18,1.72,54.88,1,2,2,0
1,23,1.71,83.79,1,2,0,0
0,18,1.65,56,0,2,1,0
1,20,1.82,60,0,2,3,0
0,18,1.6,50,1,1,1,0
0,19,1.55,62.88,0,1,1,0
1,33,1.7,85,1,2,1,0
1,22,1.7,80,1,2,1,0
0,19,1.6,45,1,2,2,0
1,19,1.83,70,1,2,3,0
1,19,1.67,67,0,2,1,0
1,35,1.84,90.47,1,3,2,0
1,19,1.62,69.53,0,3,1,0
0,20,1.65,68,1,1,1,0
1,34,1.79,90,1,3,2,0
1,24,1.7,62,1,2,0,0
0,22,1.63,61,1,1,0,0
0,21,1.5,50,0,2,0,0
1,19,1.82,87,0,3,2,0
1,23,1.76,51.88,1,2,1,0
0,16,1.68,59,1,3,2,0
0,18,1.62,70,1,1,1,0
1,20,1.77,55,1,2,2,0
0,20,1.56,45,1,2,0,0
1,19,1.8,60,0,2,2,0
0,21,1.63,55,1,2,2,0
1,19,1.69,64,1,2,1,0
1,33,1.86,97.58,1,3,1,0
1,23,1.7,81.11,1,1,1,0
1,33,1.85,97,0,2,2,0
1,31,1.78,88.43,1,2,1,0
1,45,1.7,80,0,2,0,0
0,22,1.6,50,0,2,3,0
0,21,1.65,77.96,1,2,1,0
1,23,1.76,88.53,1,2,1,0
1,22,1.72,82.85,1,2,1,0
1,35,1.7,85,1,2,0,0
1,20,1.76,65,1,2,1,0
0,22,1.7,68,1,2,0,0
0,22,1.6,68.87,0,2,1,0
1,24,1.79,85.69,1,2,1,0
0,21,1.63,70,1,2,1,0
1,18,1.8,50,1,2,1,0
1,23,1.75,83.52,1,3,0,0
1,21,1.75,75,1,1,2,0
1,34,1.75,84,1,2,1,0
0,23,1.6,44.59,0,2,1,0
1,18,1.79,89.84,1,2,0,0
0,22,1.6,65,1,2,2,0
0,18,1.83,59.93,1,2,2,0
0,32,1.64,46.66,1,2,1,0
0,23,1.63,64,1,2,1,0
1,21,1.74,78,1,2,1,0
1,18,1.72,52.06,1,3,0,0
0,18,1.61,64,1,1,2,0
1,23,1.8,85,1,3,3,0
0,26,1.7,78.06,1,2,0,0
1,17,1.75,56,0,2,3,0
1,21,1.78,70,0,2,1,0
0,18,1.64,49.8,0,1,1,0
1,25,1.67,75,0,3,2,0
0,19,1.61,53,0,2,1,0
0,20,1.59,43.37,0,3,0,0
0,24,1.73,80,1,2,1,0
0,18,1.7,78,1,2,1,0
0,18,1.6,52,1,2,0,0
0,18,1.71,75.47,1,3,0,0
1,21,1.6,70,0,2,1,0
0,21,1.67,69.24,1,2,0,0
1,21,1.7,66.5,1,2,3,0
0,24,1.62,58,0,2,1,0
0,16,1.71,50,1,3,2,0
1,21,1.7,80,0,3,1,0
1,20,1.69,75,1,3,1,0
0,21,1.73,80,1,2,2,0
1,18,1.77,68,1,2,1,0
0,18,1.64,49,1,2,0,0
1,22,1.63,70,0,3,1,0
0,32,1.64,46.66,1,3,1,0
0,35,1.68,77.21,1,2,1,0
0,30,1.65,71,1,1,0,0
0,22,1.62,67.18,1,2,1,0
1,25,1.76,88.04,1,3,0,0
1,23,1.81,71,1,2,1,0
1,19,1.8,68,0,2,1,0
0,19,1.6,53,1,1,1,0
1,23,1.65,80,1,3,2,0
0,21,1.72,44.64,0,1,0,0
0,33,1.63,61,1,2,2,0
0,20,1.54,64.73,0,2,0,0
0,23,1.63,60,1,3,2,0
1,35,1.7,83.02,0,2,1,0
0,37,1.53,64.7,1,1,0,0
1,24,1.64,70,1,2,1,0
1,20,1.83,85.3,1,2,0,0
1,18,1.71,75,1,2,1,0
1,20,1.69,80.04,1,2,1,0
1,23,1.82,96.95,1,2,2,0
1,23,1.69,65,1,1,0,0
1,18,1.73,84.06,1,3,0,0
0,23,1.7,79.54,1,2,1,0
0,28,1.61,64,0,2,1,0
0,21,1.59,50,0,2,0,0
0,19,1.53,42.99,0,2,1,0
0,19,1.66,49.84,0,1,2,0
0,23,1.64,88.14,1,2,1,0
1,21,1.78,68,1,3,1,0
1,23,1.76,75,1,2,0,0
1,20,1.72,75,1,3,2,0
0,28,1.51,63.89,1,1,0,0
0,22,1.79,75.82,1,2,1,0
1,23,1.78,70,0,2,0,0
1,18,1.75,85.77,1,2,1,0
1,22,1.71,75,1,2,0,0
0,21,1.7,49,0,3,2,0
1,20,1.64,78.88,1,2,2,0
1,23,1.79,90,1,1,0,0
0,20,1.58,65,1,2,2,0
0,18,1.58,45,0,2,1,0
0,18,1.61,49,1,2,2,0
1,21,1.61,67.72,1,3,1,0
0,23,1.7,66,1,2,1,0
0,16,1.62,45,0,1,2,0
0,19,1.56,58,1,1,3,0
0,38,1.6,75,0,1,0,0
0,34,1.58,64,1,1,0,0
1,21,1.7,90,1,2,3,0
0,21,1.66,58,0,1,1,0
0,20,1.66,49.04,0,2,1,0
1,25,1.77,88.68,1,2,0,0
0,19,1.64,53.8,0,2,1,0
1,22,1.67,62,0,2,0,0
0,22,1.7,49.84,1,1,2,0
0,31,1.81,87.8,1,3,2,0
1,17,1.81,58.83,1,2,2,0
0,18,1.54,49,0,2,2,0
0,26,1.65,61,1,1,0,0
1,24,1.8,60,1,1,2,0
0,21,1.59,60,1,3,1,0
0,19,1.63,58,0,1,0,0
0,31,1.67,79.66,1,1,0,0
1,29,1.81,71,1,2,1,0
0,21,1.64,49,1,1,1,0
1,19,1.84,86.08,1,3,1,0
1,21,1.8,88,1,3,2,0
1,16,1.82,71,1,2,2,0
1,21,1.72,75,1,2,2,0
0,27,1.7,80,1,3,0,0
1,25,1.75,88.63,1,2,0,0
0,25,1.56,51,0,2,1,0
0,20,1.65,49.84,0,2,0,0
1,21,1.72,80.56,1,2,2,0
0,19,1.53,45,0,2,2,0
1,18,1.8,51.13,1,3,2,0
0,18,1.62,69.94,1,2,0,0
0,21,1.6,62,1,1,2,0
1,22,1.7,75.97,1,2,0,0
0,21,1.73,78,1,2,1,0
1,28,1.7,79.11,1,3,1,0
0,31,1.65,57,1,2,1,0
0,18,1.62,55,1,1,1,0
1,19,1.8,87,1,2,3,0
1,34,1.75,87.86,1,3,2,0
0,18,1.71,50,0,1,2,0
1,23,1.46,62.89,0,1,0,0
1,18,1.85,85,1,3,1,0
1,22,1.78,89.99,1,2,1,0
0,26,1.7,78.04,1,2,1,0
1,21,1.76,78,1,2,3,0
0,21,1.54,53,0,2,1,0
1,18,1.74,51.44,1,2,0,0
1,20,1.8,75,1,2,1,0
1,27,1.86,87,1,2,3,0
0,19,1.64,78,1,2,1,0
1,22,1.75,64,0,2,1,0
0,18,1.67,65,0,2,1,0
0,18,1.62,68.25,1,1,0,0
0,20,1.54,42,0,2,0,0
0,37,1.65,80.99,1,1,0,0
0,20,1.71,66,1,2,0,0
0,38,1.57,50,1,1,1,0
1,23,1.67,75,1,2,3,0
1,25,1.8,73,1,2,3,0
1,19,1.78,64,0,1,1,0
0,19,1.54,42,0,1,2,0
0,21,1.56,50,1,2,1,0
0,18,1.75,55.88,0,2,2,0
0,19,1.8,61,0,1,1,0
0,20,1.62,60,1,2,0,0
0,21,1.56,50,1,1,1,0
1,18,1.7,83,1,1,1,0
1,24,1.75,84,0,2,1,0
0,20,1.72,49.84,0,1,2,0
0,22,1.63,68.39,1,2,1,0
0,23,1.65,80,1,2,1,0
0,18,1.53,41.93,0,1,0,0
1,17,1.7,59.24,1,2,2,0
0,21,1.64,63,1,3,1,0
0,22,1.71,75.97,1,2,1,0
0,21,1.65,80,1,2,0,0
